"Edit","Find Next","⌘K","Editing Text"
"Navigate","Open Type in Hierarchy","⇧⌘H","In Windows"
"Edit","Find Previous","⇧⌘K","Editing Text"
"Navigate","Quick Outline","⌘O","Editing in Structured Text Editors"
"File","Properties","⌘I","In Windows"
"Navigate","Deactivate Task","⇧⌘F9","In Windows"
"Run/Debug","Use Step Filters","⇧F5","In Windows"
"Source","Open External Documentation","⇧F2","Editing Ant Buildfiles"
"Views","Show View (Declaration)","⌥⌘Q D","In Windows"
"Window","Next Perspective","⌘F8","In Windows"
"Source","Add Javadoc Comment","⌥⌘J","In Windows"
"Edit","Paste","⌘V","In Dialogs and Windows"
"Views","Show View (Variables)","⌥⌘Q V","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","⌘T","In Memory View"
"Refactor - Java","Show Refactor Quick Menu","⌥⌘T","In Windows"
"Text Editing","Select Text Start","⇧↖","Editing Text"
"Window","Quick Switch Editor","⌘E","In Windows"
"Text Editing","Move Lines Down","⌥↓","Editing Text"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Edit","Delete","⌦","In Windows"
"Edit","Toggle Insert Mode","⇧⌘Insert","Editing Text"
"Task Repositories","New Local Task","⌥N","In Tasks View"
"Task Repositories","Mark Task Read and Go To Next Unread Task","⇧⌥↓","In Tasks View"
"Views","Show View (Synchronize)","⌥⌘Q Y","In Windows"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","⇧⌥↑","In Tasks View"
"Text Editing","Select Line Start","⇧⌘←","Editing Text"
"Window","Quick Access","⌘3","In Windows"
"Run/Debug","Go to Address","⌘G","In Table Memory Rendering"
"Window","Show Key Assist","⇧⌘L","In Dialogs and Windows"
"Run/Debug","Debug on Server","⇧⌥D R","In Windows"
"Edit","Restore Last Selection","⇧⌃⇟","Editing Java Source"
"Views","Show View (Problems)","⌥⌘Q X","In Windows"
"WindowBuilder Pro","Empty command","⌥⌘A","WindowBuilder Java scope"
"Navigate","Collapse All","⇧⌘Numpad_Divide","In Windows"
"Window","Close Dialog","⌘W","In Dialogs"
"Run/Debug","Step Into Selection","⌥F5","Debugging"
"Text Editing","Text Start","⌘↖","Editing Text"
"WindowBuilder Pro","Empty command","⇧⌘A","WindowBuilder Java scope"
"Views","Show View","⌥⌘Q Q","In Windows"
"Source","Show Source Quick Menu","⌥⌘S","In Windows"
"Text Editing","Text End","↘","Editing Text"
"Source","Format","⇧⌘F","Editing Ant Buildfiles"
"Run/Debug","Display","⇧⌘D","In Dialogs and Windows"
"File","Refresh","F5","In Windows"
"Edit","Quick Fix","⌘1","In Dialogs and Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Run/Debug","Debug Java Application","⌃⌥⌘D J","In Windows"
"Navigate","Search Repository for Task","⇧⌘F12","In Windows"
"Run/Debug","Next Page of Memory","⇧⌘.","In Table Memory Rendering"
"Window","Previous View","⇧⌘F7","In Windows"
"Run/Debug","EOF","⌃D","In I/O Console"
"Project","Build All","⌘B","In Windows"
"Navigate","Open Task","⌥⌘F12","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"Text Editing","Delete Next Word","⌥⌦","Editing Text"
"Text Editing","To Lower Case","⇧⌘Y","Editing Text"
"Source","Toggle Comment","⌘7","Editing Properties Files"
"Text Editing","Expand All","⌘Numpad_Multiply","Editing Text"
"Run/Debug","Run Ant Build","⌥⌘X Q","In Windows"
"Source","Quick Assist - Extract method","⌘2 M","Editing Java Source"
"Server","Stop","⌥⌘S","In Servers View"
"Navigate","Quick Outline","⌘O","WikiText Markup Source Context"
"Search","References in Workspace","⇧⌘G","In Windows"
"Text Editing","Delete Previous","⌃H","In Windows"
"Source","Toggle Comment","⇧⌘C","Editing Properties Files"
"Text Editing","Insert Line Above Current Line","⇧⌘↩","Editing Text"
"File","Close All","⇧⌘W","In Windows"
"Source","Toggle Ant Mark Occurrences","⌥⌘O","Editing Ant Buildfiles"
"Navigate","Go To Previous Unread Task","⌥↑","In Tasks View"
"Text Editing","Copy Lines","⌥⌘↓","Editing Text"
"Task Repositories","New Subtask","⇧⌥N","In Tasks View"
"Edit","Incremental Find","⌘J","Editing Text"
